Autor, Year, Title, Ed,Sub
Todd McFarlane Productions. Inc,1998, McFarlane Toys 1998 Catalog, ,
Allass. Marcia,1999, Retailer's Corner. The Mind's Eye (Eagan. MN) Sequential Tart 2(3; March), ,
Todd McFarlane Productions. Inc,1999, McFarlane Toys Catalog, ,
Webster. Lisa,1999, Would you like some cheese with that cake? What is cheesecake and what's it worth anyway? Sequential Tart 2 (11; December), ,
Jellinek. Anna. Rebecca Salek. Marcia Allass. Lee Atchison. Danielle Fletcher. and Karon Flage,2000, San Diego Comic Con - Best & WorSt. Sequential Tart 3 (8; August), ,
Keller. Katherine,2000, Fantagraphics. Part One. Let the Tomfoolery Begin! Sequential Tart 3 (2; February), ,
Ratliff. Shauna,2000, A Bold New Bubblegum Crisis? Sequential Tart 3 (4; April), ,
Salek. Rebecca,2000, A Supergirl By Any Other Name Is Still A Super Girl! Sequential Tart 3 (5; May), ,
Salek. Rebecca,2000, Greatest Characters of All Time?,Sequential Tart,
Salek. Rebecca,2000, Tart To Heart. In the spirit of the season. what is your favorite comic story about the winter holidays? Sequential Tart 3 (12; December), ,
Webster. Lisa,2000, Retailer's Corner. Khepri.com,Sequential Tart,
Allass. Marcia,2001, Tart To Heart. What New Years Resolution would you most like to see the comics industry as a whole make for 2001? Sequential Tart 4 (1; January), ,
Bomford. Jen,2001, Coming Up Next. Anime Titles to Keep an Eye On! Sequential Tart 4 (3; March), ,
Burdorf. Jeanne. Laura Bissey. Jennifer Contino. Rebecca Salek. Lisa Jonte. Shauna Ratliff. Jen Bomford. Dani Fletcher. and Barb Lien-Cooper,2001, Read This Or Die. Manga Manga! Sequential Tart 4 (2. February), ,
Dawley. Kourtney,2001, Truth in Anime? Sequential Tart 4 (12; December), ,
Flage. Karon,2001, Tart Roundtable. What Was Your First Comic? Sequential Tart 4 (5. May), ,
McNeil. Sheena,2001, Rumiko Takahashi and Inuyasha. An Anime. a Manga. and A Whole Lot of Excitement! Sequential Tart 4 (3; March), ,
Salek. Rebecca,2001, Spider-Girl. Feeling Loose and Slamming Heat! Sequential Tart 4 (2. February), ,
Stang-Frost. Wendi,2001, Retailer's corner. The Underworld. Ann Arbor. MI Sequential Tart 4 (11; November), ,
Accomando. Beth,2004, Comic-Con Convention Becomes Hollywood's New Test Market. Voice of Americas Main Street (July 23), ,
Albert. Aaron,2008, David Gallaher Interview. High Moon Writer and Zuda Comics Contestant About.com, ,
Alverson. Brigid,2009, Yen honcho talks Yotsuba&! MangaBlog (February 13), ,
Warren. Jon (ed),1995, Wizard 1996 Comic Book Price Guide Annual. 2nd ed,  Wizard,
McCloud. Scott,1996, Understanding Manga,  Wizard,
Allstetter. Rob,1997, The Dark Knight returns [Batman. The Animated Series],  Wizard,
Brady. Matthew,1997, Army of darkness [X-Men],  Wizard,
Brady. Matthew,1997, Delivery room [how comic book concepts are proposed],  Wizard,
Brady. Matthew,1997, Magic act [Image's Top Cow Productions],  Wizard,
Brick. Scott,1997, Title wave [Marvel],  Wizard,
Busbee. James,1997, Cool worlds [Coventry; Copybook Tales; Lost Stories],  Wizard,
Jimenez. Phil,1997, Basic training. How to draw energy effects,  Wizard,
McLauchlin. Jim,1997, Bumming around [DC's Major Bummer],  Wizard,
Palmer. Tom Jr,1997, Palmer's picks. Kuper's comics,  Wizard,
Russo. Tom,1997, The Wizard Q&A. George Perez,  Wizard,
Senreich. Matthew,1997, The Wizard Q&A. Mark Waid & Ron Garney,  Wizard,
Shutt. Craig,1997, Bad is good [supervillains],  Wizard,
Shutt. Craig,1997, Silence is Golden [Michael Golden],  Wizard,
Hutchins. Chris,1998, The Wizard Q&A. Chris Claremont,  Wizard,
Keown. Dale,1998, Basic training. How to draw proportions,  Wizard,
McLauchlin. Jim,1998, The mighty Casey [Marvel Comics writer Joe Casey],  Wizard,
